[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:51:935 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:938 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:951 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:953 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:959 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:51:962 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:51:974 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:977 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:26 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:28 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:30 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:50 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:52 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:61 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:64 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:131 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:133 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:136 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:150 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:153 main.c/(5351:5351): Leyendo pagina 6, pid 0
